No,Title,ISSN,E-ISSN,CATEGORY,Publisher,Address,Nation
7784469,GREENHOUSE GASES-SCIENCE AND TECHNOLOGY,2152-3878,2152-3878,"Energy & Fuels ; Engineering, Environmental ; Environmental Sciences","WILEY PERIODICALS, INC","ONE MONTGOMERY ST, SUITE 1200, SAN FRANCISCO, USA, CA, 94104",USA
7784470,GREEN MATERIALS,2049-1220,2049-1239,"Green & Sustainable Science & Technology ; Materials Science, Multidisciplinary ; Polymer Science",EMERALD GROUP PUBLISHING LTD,"Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL",ENGLAND
7784471,GREEN PROCESSING AND SYNTHESIS,2191-9542,2191-9550,"Chemistry, Multidisciplinary ; Green & Sustainable Science & Technology ; Engineering, Chemical",DE GRUYTER POLAND SP Z O O,"BOGUMILA ZUGA 32A STR, WARSAW, Poland, MAZOVIA, 01-811",GERMANY
7784472,GREY SYSTEMS-THEORY AND APPLICATION,2043-9377,2043-9385,"Mathematics, Interdisciplinary Applications",EMERALD GROUP PUBLISHING LTD,"Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL",ENGLAND
7784473,GROUNDWATER,0017-467X,1745-6584,"Geosciences, Multidisciplinary ; Water Resources",WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784474,GROUND WATER MONITORING AND REMEDIATION,1069-3629,1745-6592,Water Resources,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784475,GROUPS GEOMETRY AND DYNAMICS,1661-7207,1661-7215,Mathematics,EUROPEAN MATHEMATICAL SOC-EMS,"PUBLISHING HOUSE GMBH INST MATHEMATIK TECHNISCHE UNIV BERLIN STRASSE 17, JUNI 136, BERLIN, Germany, 10623",SWITZERLAND
7784476,GROWTH FACTORS,0897-7194,1029-2292,Cell Biology ; Endocrinology & Metabolism,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7784477,GROWTH HORMONE & IGF RESEARCH,1096-6374,1532-2238,Cell Biology ; Endocrinology & Metabolism,CHURCHILL LIVINGSTONE,"JOURNAL PRODUCTION DEPT, ROBERT STEVENSON HOUSE, 1-3 BAXTERS PLACE, LEITH WALK, EDINBURGH, SCOTLAND, MIDLOTHIAN, EH1 3AF",SCOTLAND
7784478,GRUNDWASSER,1430-483X,1432-1165,Environmental Sciences ; Water Resources,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",GERMANY
7784479,GUT,0017-5749,1468-3288,Gastroenterology & Hepatology,BMJ PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND, WC1H 9JR",ENGLAND
7784480,GUT AND LIVER,1976-2283,2005-1212,Gastroenterology & Hepatology,EDITORIAL OFFICE GUT & LIVER,"305 LOTTE GOLD ROSE II, 890-59, DAECHI 4-DONG, GANGNAM-GU, SEOUL, SOUTH KOREA, 135-839",SOUTH KOREA
7784481,GUT MICROBES,1949-0976,1949-0984,Gastroenterology & Hepatology ; Microbiology,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",USA
7784482,GUT PATHOGENS,1757-4749,1757-4749,Gastroenterology & Hepatology ; Microbiology,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7784483,GYNECOLOGICAL ENDOCRINOLOGY,0951-3590,1473-0766,Endocrinology & Metabolism ; Obstetrics & Gynecology,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7784484,GYNECOLOGIC AND OBSTETRIC INVESTIGATION,0378-7346,1423-002X,Obstetrics & Gynecology,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",SWITZERLAND
7784485,GYNECOLOGIC ONCOLOGY,0090-8258,1095-6859,Oncology ; Obstetrics & Gynecology,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",USA
7784486,GYNECOLOGIE OBSTETRIQUE FERTILITE & SENOLOGIE,2468-7197,2468-7189,Obstetrics & Gynecology,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,"65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442",FRANCE
7784487,HACETTEPE JOURNAL OF MATHEMATICS AND STATISTICS,,2651-477X,Mathematics ; Statistics & Probability,"HACETTEPE UNIV, FAC SCI","HACETTEPE UNIV, FAC SCI, BEYTEPE, Turkiye, ANKARA, 06800",TURKEY
7784488,HAEMATOLOGICA,0390-6078,1592-8721,Hematology,FERRATA STORTI FOUNDATION,"VIA GIUSEPPE BELLI 4, PAVIA, ITALY, 27100",ITALY
7784489,HAEMOPHILIA,1351-8216,1365-2516,Hematology,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784490,HAMOSTASEOLOGIE,0720-9355,2567-5761,Hematology,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",GERMANY
7784491,HANDCHIRURGIE MIKROCHIRURGIE PLASTISCHE CHIRURGIE,0722-1819,1439-3980,Surgery,THIEME MEDICAL PUBL INC,"333 SEVENTH AVE, NEW YORK, USA, NY, 10001",USA
7784492,HAND CLINICS,0749-0712,1558-1969,Orthopedics,W B SAUNDERS CO-ELSEVIER INC,"1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899",USA
7784493,HAND SURGERY & REHABILITATION,2468-1229,2468-1210,Orthopedics ; Surgery,ELSEVIER,"685 ROUTE 202-206, BRIDGEWATER, USA, NJ, 08807",USA
7784494,HARMFUL ALGAE,1568-9883,1878-1470,Marine & Freshwater Biology,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NETHERLANDS
7784495,HARVARD REVIEW OF PSYCHIATRY,1067-3229,1465-7309,Psychiatry,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",USA
7784496,HASELTONIA,1070-0048,1938-2898,Plant Sciences,CACTUS SUCCULENT SOC AMER INC,"2391 E CACTUS ST, PAHRUMP, USA, NV, 89048",USA
7784497,HASTINGS CENTER REPORT,0093-0334,1552-146X,Health Care Sciences & Services ; Medical Ethics,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784498,HEADACHE,0017-8748,1526-4610,Clinical Neurology,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784499,HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,1043-3074,1097-0347,Otorhinolaryngology ; Surgery,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784500,HEAD & FACE MEDICINE,,1746-160X,"Dentistry, Oral Surgery & Medicine",BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7784501,HEALTH AFFAIRS,0278-2715,0278-2715,Health Care Sciences & Services,PROJECT HOPE,"7500 OLD GEORGETOWN RD, STE 600, BETHESDA, USA, MD, 20814-6133",USA
7784502,HEALTH AND QUALITY OF LIFE OUTCOMES,,1477-7525,Health Care Sciences & Services,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7784503,HEALTHCARE,,2227-9032,Health Care Sciences & Services,MDPI,"ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052",SWITZERLAND
7784504,HEALTH ECONOMICS,1057-9230,1099-1050,Health Care Sciences & Services,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784505,HEALTH EXPECTATIONS,1369-6513,1369-7625,"Health Care Sciences & Services ; Public, Environmental & Occupational Health",WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784506,HEALTH INFORMATICS JOURNAL,1460-4582,1741-2811,Health Care Sciences & Services ; Medical Informatics,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",USA
7784507,HEALTH INFORMATION MANAGEMENT JOURNAL,1833-3583,1833-3575,Medical Informatics,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",USA
7784508,HEALTH INFORMATION SCIENCE AND SYSTEMS,2047-2501,2047-2501,Medical Informatics,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7784509,HEALTH PHYSICS,0017-9078,1538-5159,"Environmental Sciences ; Public, Environmental & Occupational Health ; Nuclear Science & Technology ; Radiology, Nuclear Medicine & Medical Imaging",LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",USA
7784510,HEALTH & PLACE,1353-8292,1873-2054,"Public, Environmental & Occupational Health",ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",ENGLAND
7784511,HEALTH POLICY,0168-8510,1872-6054,Health Care Sciences & Services,ELSEVIER IRELAND LTD,"ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000",IRELAND
7784512,HEALTH POLICY AND PLANNING,0268-1080,1460-2237,Health Care Sciences & Services,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",ENGLAND
7784513,HEALTH PROMOTION AND CHRONIC DISEASE PREVENTION IN CANADA-RESEARCH POLICY AND PRACTICE,2368-738X,2368-738X,"Public, Environmental & Occupational Health",PUBLIC HEALTH AGENCY CANADA,"130 COLONNADE RD, ADDRESS LOCATOR 6501G, OTTAWA, CANADA, ONTARIO, K1A 0K9",CANADA
7784514,HEALTH PROMOTION INTERNATIONAL,0957-4824,1460-2245,"Public, Environmental & Occupational Health",OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",ENGLAND
7784515,HEALTH PSYCHOLOGY,0278-6133,1930-7810,Psychology,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",USA
7784516,HEALTH REPORTS,0840-6529,1209-1367,"Public, Environmental & Occupational Health",STATISTICS CANADA,"100 TUNNEYS PASTURE DRIVEWAY, OTTAWA, CANADA, ONTARIO, K1A 0T6",CANADA
7784517,HEALTH SERVICES RESEARCH,0017-9124,1475-6773,Health Care Sciences & Services,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784518,HEALTH TECHNOLOGY ASSESSMENT,1366-5278,2046-4924,Health Care Sciences & Services,NIHR JOURNALS LIBRARY,"UNIV SOUTHAMPTON, EVALUATION, TRIALS & STUDIES COORDINATING CENTRE, ALPHA HOUSE, ENTERPRISE RD, SOUTHAMPTON, ENGLAND, SO16 7NS",ENGLAND
7784519,HEARING RESEARCH,0378-5955,1878-5891,Audiology & Speech-Language Pathology ; Neurosciences ; Otorhinolaryngology,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NETHERLANDS
7784520,HEART,1355-6037,1468-201X,Cardiac & Cardiovascular System,BMJ PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND, WC1H 9JR",ENGLAND
7784521,HEART AND VESSELS,0910-8327,1615-2573,Cardiac & Cardiovascular System ; Peripheral Vascular Diseases,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7784522,HEART FAILURE CLINICS,1551-7136,1551-7136,Cardiac & Cardiovascular System,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7784523,HEART FAILURE REVIEWS,1382-4147,1573-7322,Cardiac & Cardiovascular System,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",NETHERLANDS
7784524,HEART & LUNG,0147-9563,1527-3288,Cardiac & Cardiovascular System ; Nursing ; Respiratory System,MOSBY-ELSEVIER,"360 PARK AVENUE SOUTH, NEW YORK, USA, NY, 10010-1710",USA
7784525,HEART LUNG AND CIRCULATION,1443-9506,1444-2892,Cardiac & Cardiovascular System,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7784526,HEART RHYTHM,1547-5271,1556-3871,Cardiac & Cardiovascular System,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7784527,HEART SURGERY FORUM,1098-3511,1522-6662,Cardiac & Cardiovascular System ; Surgery,"FORUM MULTIMEDIA PUBLISHING, LLC","375 GREENBRIER DR, CHARLOTTESVILLE, USA, VA, 22901",USA
7784528,HEAT AND MASS TRANSFER,0947-7411,1432-1181,Thermodynamics ; Mechanics,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7784529,HEAT TRANSFER ENGINEERING,0145-7632,1521-0537,"Thermodynamics ; Engineering, Mechanical ; Mechanics",TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",USA
7784530,HEAT TRANSFER RESEARCH,1064-2285,2162-6561,Thermodynamics,BEGELL HOUSE INC,"50 NORTH ST, DANBURY, USA, CT, 06810",USA
7784531,HELICOBACTER,1083-4389,1523-5378,Gastroenterology & Hepatology ; Microbiology,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784532,HELIYON,,2405-8440,Multidisciplinary Sciences,CELL PRESS,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, USA, MA, 02139",USA
7784533,HELLENIC JOURNAL OF CARDIOLOGY,1109-9666,2241-5955,Cardiac & Cardiovascular System,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",GREECE
7784534,HELLENIC JOURNAL OF NUCLEAR MEDICINE,1108-1430,1790-5427,"Radiology, Nuclear Medicine & Medical Imaging",HELLENIC SOC NUCLEAR MEDICINE,"51 HERMU ST, THESSALONIKI, GREECE, 546 23",GREECE
7784535,HELMINTHOLOGIA,0440-6605,1336-9083,Parasitology ; Zoology,SCIENDO,"BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811",GERMANY
7784536,HELVETICA CHIMICA ACTA,0018-019X,1522-2675,"Chemistry, Multidisciplinary",WILEY-V C H VERLAG GMBH,"POSTFACH 101161, WEINHEIM, GERMANY, 69451",GERMANY
7784537,HEMASPHERE,,2572-9241,Hematology,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",USA
7784538,HEMATOLOGICAL ONCOLOGY,0278-0232,1099-1069,Oncology ; Hematology,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784539,HEMATOLOGY,1024-5332,1607-8454,Hematology,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7784540,HEMATOLOGY-AMERICAN SOCIETY OF HEMATOLOGY EDUCATION PROGRAM,1520-4391,1520-4383,"Education, Scientific Disciplines ; Hematology",AMER SOC HEMATOLOGY,"2021 L ST NW, SUITE 900, WASHINGTON, USA, DC, 20036",USA
7784541,HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,0889-8588,1558-1977,Oncology ; Hematology,W B SAUNDERS CO-ELSEVIER INC,"1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899",USA
7784542,HEMIJSKA INDUSTRIJA,0367-598X,2217-7426,"Engineering, Chemical",ASSOC CHEMICAL ENGINEERS SERBIA,"KNEZA MILOSA 9-I, BELGRADE, SERBIA, 11000",SERBIA
7784543,HEMODIALYSIS INTERNATIONAL,1492-7535,1542-4758,Urology & Nephrology,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784544,HEMOGLOBIN,0363-0269,1532-432X,Biochemistry & Molecular Biology ; Hematology,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7784545,HEPATITIS MONTHLY,1735-143X,1735-3408,Gastroenterology & Hepatology,BRIEFLAND,"25 Derde Morgen , Shertogenbosch, Netherlands, 5233 NL",NETHERLANDS
7784546,HEPATOBILIARY & PANCREATIC DISEASES INTERNATIONAL,1499-3872,2352-9377,Gastroenterology & Hepatology,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NETHERLANDS
7784547,HEPATOBILIARY SURGERY AND NUTRITION,2304-3881,2304-389X,Gastroenterology & Hepatology ; Nutrition & Dietetics ; Surgery,AME PUBLISHING COMPANY,"FLAT-RM C 16F, KINGS WING PLAZA 1, NO 3 KWAN ST, SHATIN, PEOPLES R CHINA, HONG KONG, 00000",CHINA
7784548,HEPATOLOGY,0270-9139,1527-3350,Gastroenterology & Hepatology,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",USA
7784549,HEPATOLOGY COMMUNICATIONS,,2471-254X,Gastroenterology & Hepatology,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",ENGLAND
7784550,HEPATOLOGY INTERNATIONAL,1936-0533,1936-0541,Gastroenterology & Hepatology,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7784551,HEPATOLOGY RESEARCH,1386-6346,1872-034X,Gastroenterology & Hepatology,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784552,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,1019-3316,1555-6492,History & Philosophy Of Science ; Multidisciplinary Sciences,MAIK NAUKA/INTERPERIODICA/SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013-1578",USA
7784553,HEREDITARY CANCER IN CLINICAL PRACTICE,1731-2302,1897-4287,Oncology,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7784554,HEREDITAS,1601-5223,1601-5223,Genetics & Heredity,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7784555,HEREDITY,0018-067X,1365-2540,Ecology ; Evolutionary Biology ; Genetics & Heredity,SPRINGERNATURE,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7784556,HERITAGE SCIENCE,2050-7445,2050-7445,"Chemistry, Analytical ; Materials Science, Multidisciplinary ; Spectroscopy",SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",ENGLAND
7784557,HERNIA,1265-4906,1248-9204,Surgery,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7784558,HERPETOLOGICA,0018-0831,1938-5099,Zoology,HERPETOLOGISTS LEAGUE,"C/O ALLEN PRESS, PO BOX 7065, LAWRENCE, USA, KS, 66044",USA
7784559,HERPETOLOGICAL CONSERVATION AND BIOLOGY,2151-0733,1931-7603,Zoology,HERPETOLOGICAL CONSERVATION & BIOLOGY,"C/O R BRUCE BURY, USGS FOREST & RANGELAND, CORVALLIS, USA, OR, 00000",USA
7784560,HERPETOLOGICAL JOURNAL,0268-0130,0268-0130,Zoology,BRITISH HERPETOL SOC,"C/O ZOOL SOC LONDON REGENTS PARK, LONDON, ENGLAND, NW1 4RY",ENGLAND
7784561,HERPETOLOGICAL MONOGRAPHS,0733-1347,1938-5137,Zoology,HERPETOLOGISTS LEAGUE,"C/O ALLEN PRESS, PO BOX 7065, LAWRENCE, USA, KS, 66044",USA
7784562,HERPETOZOA,1013-4425,1013-4425,Zoology,PENSOFT PUBLISHERS,"12 PROF GEORGI ZLATARSKI ST, SOFIA, BULGARIA, 1700",BULGARIA
7784563,HERZ,0340-9937,1615-6692,Cardiac & Cardiovascular System,URBAN & VOGEL,"NEUMARKTER STRASSE 43, MUNICH, GERMANY, D-81673",GERMANY
7784564,HERZOGIA,0018-0971,,Plant Sciences,BLAM E V,"BRYOLOGISCH-LICHENOLOGISCHE ARBEITSGEMEINSCHAFT MITTELEUROPA EV, UNIV HALLE-WITTENBERG, NEUWERK 21, HALLE, GERMANY, D-06108",GERMANY
7784565,HETEROATOM CHEMISTRY,1042-7163,1098-1071,"Chemistry, Multidisciplinary",WILEY-HINDAWI,"ADAM HOUSE, 3RD FL, 1 FITZROY SQ, LONDON, ENGLAND, WIT 5HE",ENGLAND
7784566,HETEROCYCLES,0385-5414,1881-0942,"Chemistry, Organic",JAPAN INST HETEROCYCLIC CHEMISTRY,"503 1-1-7 Motoakasaka, Minato-ku,, Tokyo, Japan, 107-0051",ENGLAND
7784567,HETEROCYCLIC COMMUNICATIONS,0793-0283,2191-0197,"Chemistry, Organic",DE GRUYTER POLAND SP Z O O,"BOGUMILA ZUGA 32A STR, WARSAW, Poland, MAZOVIA, 01-811",GERMANY
7784568,HIDROBIOLOGICA,0188-8897,0188-8897,Marine & Freshwater Biology,UNIV AUTONOMA METROPOLITANA-IZTAPALAPA,"C/O DR JAIME VERNON-CARTER, SAN RAFAEL ATLIXCO NO 186, COL VICENTINA, DELEGACION IZTAPALAPA, MEXICO, MEXICO, 09340",MEXICO
7784569,HIGH ALTITUDE MEDICINE & BIOLOGY,1527-0297,1557-8682,"Biophysics ; Public, Environmental & Occupational Health ; Sport Sciences","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801",USA
7784570,HIGH ENERGY CHEMISTRY,0018-1439,1608-3148,"Chemistry, Physical",MAIK NAUKA/INTERPERIODICA/SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013-1578",USA
7784571,HIGH ENERGY DENSITY PHYSICS,1574-1818,1878-0563,"Physics, Fluids & Plasmas",ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NETHERLANDS
7784572,HIGH PERFORMANCE POLYMERS,0954-0083,1361-6412,Polymer Science,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",ENGLAND
7784573,HIGH POWER LASER SCIENCE AND ENGINEERING,2095-4719,2052-3289,Optics,CHINESE LASER PRESS & CAMBRIDGE UNIV PRESS,"NO 390, QINGHE RD, JIADING , SHANGHAI , Peoples R China, 201800",ENGLAND
7784574,HIGH PRESSURE RESEARCH,0895-7959,1477-2299,"Physics, Multidisciplinary",TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7784575,HIGH TEMPERATURE,0018-151X,1608-3156,"Physics, Applied",MAIK NAUKA/INTERPERIODICA/SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013-1578",USA
7784576,HIGH TEMPERATURE CORROSION OF MATERIALS,2731-8397,2731-8400,Metallurgy & Metallurgical Engineering,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7784577,HIGH TEMPERATURE MATERIALS AND PROCESSES,0334-6455,2191-0324,"Materials Science, Multidisciplinary",DE GRUYTER POLAND SP Z O O,"BOGUMILA ZUGA 32A STR, WARSAW, Poland, MAZOVIA, 01-811",GERMANY
7784578,HIGH TEMPERATURES-HIGH PRESSURES,0018-1544,1472-3441,"Thermodynamics ; Mechanics ; Materials Science, Characterization, Testing",OLD CITY PUBLISHING INC,"628 NORTH 2ND ST, PHILADELPHIA, USA, PA, 19123",USA
7784579,HIGH VOLTAGE,2397-7264,2397-7264,"Engineering, Electrical & Electronic",WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",ENGLAND
7784580,HIMALAYAN GEOLOGY,0971-8966,,Geology,WADIA INST HIMALAYAN GEOLOGY,"33 GENERAL MAHADEO SINGH RD, DEHRA DUN, INDIA, 248 001",INDIA
7784581,HIP INTERNATIONAL,1120-7000,1724-6067,Orthopedics,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",ENGLAND
7784582,HIPPOCAMPUS,1050-9631,1098-1063,Neurosciences,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784583,HIPPOKRATIA,1108-4189,1108-4189,"Medicine, General & Internal",LITHOGRAPHIA,"ANTONIADIS I-PSARRAS TH G P, NEA REDESTOS, THESSALONIKI, GREECE, 00000",GREECE
7784584,HIROSHIMA MATHEMATICAL JOURNAL,0018-2079,0018-2079,Mathematics,"HIROSHIMA UNIV, GRAD SCH SCI","DEPT MATH, 1-3-1 KAGAMIYAMA, HIGASHI, JAPAN, HIROSHIMA, 739-8526",JAPAN
7784585,HISTOCHEMISTRY AND CELL BIOLOGY,0948-6143,1432-119X,Cell Biology ; Microscopy,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7784586,HISTOLOGY AND HISTOPATHOLOGY,0213-3911,1699-5848,Cell Biology ; Pathology,F HERNANDEZ,"PLAZA FUENSANTA 2-7 C, MURCIA, SPAIN, 30008",SPAIN
7784587,HISTOPATHOLOGY,0309-0167,1365-2559,Cell Biology ; Pathology,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7784588,HISTORIA MATHEMATICA,0315-0860,1090-249X,"History & Philosophy Of Science ; Mathematics, Interdisciplinary Applications ; Mathematics",ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",USA
7784589,HISTORICAL BIOLOGY,0891-2963,1029-2381,Paleontology,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7784590,HISTORICAL RECORDS OF AUSTRALIAN SCIENCE,0727-3061,1448-5508,History & Philosophy Of Science,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, AUSTRALIA, VIC, 3168",AUSTRALIA
7784591,HISTORICAL STUDIES IN THE NATURAL SCIENCES,1939-1811,1939-182X,History & Philosophy Of Science,UNIV CALIFORNIA PRESS,"155 GRAND AVE, SUITE 400, OAKLAND, USA, CA, 94612-3758",USA
7784592,HISTORY AND PHILOSOPHY OF LOGIC,0144-5340,1464-5149,History & Philosophy Of Science ; Logic,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7784593,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,0391-9714,1742-6316,History & Philosophy Of Science,SPRINGER INT PUBL AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",SWITZERLAND
7784594,HISTORY OF GEO- AND SPACE SCIENCES,2190-5010,2190-5029,"Geosciences, Multidisciplinary ; History & Philosophy Of Science",COPERNICUS GESELLSCHAFT MBH,"BAHNHOFSALLEE 1E, GOTTINGEN, GERMANY, 37081",GERMANY
